frame,insertion_mm,tip_x_mm,tip_y_mm,tip_z_mm,plane_z_measured_mm,true_contact_s_mm,estimated_contact_s_mm,true_contact_Fx_N,true_contact_Fy_N,true_contact_Fz_N,ours_contact_Fx_N,ours_contact_Fy_N,ours_contact_Fz_N,true_tip_Fx_N,true_tip_Fy_N,true_tip_Fz_N,ours_tip_Fx_N,ours_tip_Fy_N,ours_tip_Fz_N,seed_contact_s_mm,seed_contact_Fx_N,seed_contact_Fy_N,seed_contact_Fz_N,seed_tip_Fx_N,seed_tip_Fy_N,seed_tip_Fz_N,true_total_Fx_N,true_total_Fy_N,true_total_Fz_N,ours_total_Fx_N,ours_total_Fy_N,ours_total_Fz_N,aloi_total_Fx_N,aloi_total_Fy_N,aloi_total_Fz_N,ours_contact_error_norm_N,ours_tip_error_norm_N,ours_total_error_norm_N,aloi_total_error_norm_N,ours_gap_mm,ours_friction_cone_slack_N,ours_normal_complementarity,ours_friction_complementarity,ours_cone_complementarity,ours_measurement_residual_norm,seed_measurement_residual_norm,seed_normal_complementarity,seed_friction_complementarity,seed_cone_complementarity,seed_merit,final_merit,initialization_name,initialization_merit,initialization_residual_norm
1,0,115.9826824948,1.7681596372377e-18,2.99460134357295,10,167.135037593985,167.671077694236,0.00837170926259398,5.12619347591398e-19,-8.3717092625955,3.35584527183795,-0.0130325046859905,-10.0107952504137,0,0,-3.5,1.35315482639596,0.0140998096713775,-1.20726952815717,167.135037593985,1.46036877898237,-1.75064148282061e-16,-10.0110332586685,-0.00220927458953581,1.88575913416261e-17,-0.125733855897703,0.00837170926259398,5.12619347591398e-19,-11.8717092625955,4.70900009823391,0.00106730498538695,-11.2180647785709,-1.91077592845535,3.56470586795219e-19,-11.5894578187743,3.72724455513469,2.66229972117117,4.74585708822325,1.93979213651811,3.53515218688705e-06,1.36015643192877e-11,3.53908708918648e-05,0,0,1.02355217631356,24.3980077930802,78.5036715059315,4.63400310777503,34.9315307310794,746600594.602403,0.673270054999731,reduced_seed_projected,2608.85024011621,65.0673952181332
2,2.33333333333333,116.85549688385,-1.64449963446109e-15,2.27076018584599,10,167.135037593985,167.671077694236,-7.94093947131651,-4.86242305288532e-16,-9.92617433914563,-9.11919988444876,3.14246151782206e-05,-11.4937476383752,0,0,-3.5,-0.34363078281675,-0.000154174101997574,-1.87877018264577,166.598997493734,-5.94236727332654,-0.00206765165347497,-11.4658651355358,1.33469657943706,0.0130808721230285,-1.23529189970272,-7.94093947131651,-4.86242305288532e-16,-13.4261743391456,-9.46283066726551,-0.000122749486819353,-13.3725178210209,-19.1855427871444,-8.264997403678e-17,-10.4178787920381,1.96101597408065,1.65724719319338,1.52283677697637,11.6400578103837,2.08467537787804e-07,1.125914472766e-08,2.38838467189008e-06,9.57902331064829e-08,3.08291663249373e-11,3.56812837697182,10.7082323062339,5.93620059264258,3.9396669900814,0,5949964.46793047,6.69439536595031,reduced_seed_projected,139.493261104093,13.166793705366
3,4.66666666666667,119.074479817225,-2.32036302372111e-15,2.27054002984677,10,166.062957393484,166.598997493734,-8.10801534352947,-4.9647275189455e-16,-10.1350191794118,-8.79801680604774,2.72900069918033e-06,-11.0058396816367,0,0,-3.5,0.575442560787332,0.000220294362285197,-2.62039915604407,166.598997493734,-8.36096662308977,0.000128691625065205,-11.7240590781553,-0.342366518692613,-0.00015345618922705,-1.88159653042349,-8.10801534352947,-4.9647275189455e-16,-13.6350191794118,-8.22257424526041,0.000223023362984377,-13.6262388376808,-20.0993780532641,-7.9359364428028e-17,-10.433765632179,1.1110492182527,1.0511098106207,0.114895109148014,12.4113175734926,-1.71812512828051e-09,0,1.89038334305814e-08,5.19216163082096e-09,0,0.260943279856565,0.898310938992822,0.701967256653461,19.227249751632,0,38921182.0900086,0.206671110858466,reduced_seed_projected,26.6231875389947,5.8793997740483
4,7,121.391415608078,-2.76030459003491e-15,2.26563208113375,10,166.062957393484,166.598997493734,-8.13308135664314,-4.98007602530902e-16,-10.1663516958039,-8.79746130258939,7.38412205716798e-07,-10.9990812468376,0,0,-3.5,0.644047457920412,-0.000167740534874482,-2.65940548697217,166.062957393484,-8.71140825950499,-0.000182440649895264,-11.0084038043824,0.573778617322329,0.000219219367674325,-2.62070335777052,-8.13308135664314,-4.98007602530902e-16,-13.6663516958039,-8.15341384466898,-0.000167002122668765,-13.6584867338098,-20.2416083473774,-8.01573123135551e-17,-10.4367012412325,1.06528832610747,1.05896000468532,0.0218012748755522,12.5318421608339,-5.87204857141477e-07,9.76996261670138e-14,6.45819731165195e-06,2.05782072065455e-06,2.271846520646e-13,0.0639816821833165,0.52591489391375,0.831923268324393,20.0948626916316,0,42716760.4038482,0.00336803982865802,reduced_seed_projected,0.0683516545908214,0.330475118757358
5,9.33333333333333,123.722396233104,-3.02175442658182e-15,2.26490087690619,10,166.062957393484,166.598997493734,-8.13665498475885,-4.98226424142564e-16,-10.1708187309486,-8.75906665295741,7.3661960316793e-07,-10.9510780949447,0,0,-3.5,0.617618169157853,-2.0784971790102e-05,-2.71267646973557,166.062957393484,-8.60543076176358,0.000138650133738512,-10.9532203417873,0.641304488145748,-0.000166895986310152,-2.65945960936394,-8.13665498475885,-4.98226424142564e-16,-13.6708187309486,-8.14144848379956,-2.00483521869341e-05,-13.6637545646803,-20.2620192458903,-8.13392550396848e-17,-10.4371281626635,0.998098672383628,1.00066505116045,0.00853700650435337,12.5491518899303,-2.92321499078055e-07,0,3.20097950432715e-06,9.57489850689935e-07,0,0.0552362076662389,0.860900728014055,0.947398685667249,19.8869640380034,0,42017205.2235503,0.00174658370375461,reduced_seed_projected,0.132924817507224,0.474161156559097
6,11.6666666666667,126.055394041469,-3.1823840896988e-15,2.26479605230617,10,166.062957393484,166.598997493734,-8.13716362580296,-4.98257569423893e-16,-10.1714545322537,-8.71905839159437,7.27577295599333e-07,-10.901057515095,0,0,-3.5,0.569838377267373,-0.000353621993097107,-2.7660650020971,166.062957393484,-8.5603586934747,1.71780763972849e-05,-10.9010416563171,0.614807256930009,-2.06801029902793e-05,-2.71268880583442,-8.13716362580296,-4.98257569423893e-16,-13.6714545322537,-8.14922001432699,-0.000352894415801508,-13.6671225171921,-20.2649306878024,-8.21937614078732e-17,-10.4371891672863,0.933232034933924,0.929180543490851,0.0128159039168086,12.5516216626038,3.70453191575991e-06,1.77635683940025e-15,4.03800852932595e-05,3.02070242099863e-06,4.16487829874825e-15,0.0609850691454445,0.874113382192665,0.946365489455814,19.7897162542353,0,41639912.8776133,0.00230306862808069,reduced_seed_projected,0.136704500890191,0.479585161446009
7,14,128.388679544443,-3.28023184413468e-15,2.26478109527418,10,166.062957393484,166.062957393484,-8.13723612511621,-4.98262008726489e-16,-10.1715451563953,-8.65397261271057,7.22930346743451e-07,-10.8196836112404,0,0,-3.5,0.504038102010002,0.000517226909878332,-2.84357460533891,166.062957393484,-8.5309289165985,0.000292330676771324,-10.8532046555444,0.567182091732647,-0.000351845054375001,-2.76603465413194,-8.13723612511621,-4.98262008726489e-16,-13.6715451563953,-8.14993451070057,0.000517949840225076,-13.6632582165793,-20.2653457379272,-8.27379958185954e-17,-10.4371978664383,0.828914986148083,0.827616441691133,0.01517203480091,12.5519737560437,-5.18582516772365e-07,0,5.61044995235718e-06,9.16400823825346e-06,0,0.0573848071913642,0.808219305155013,0.928614172547786,19.7308529812508,3.15544362088405e-30,41391978.9958649,0.00214322967440896,reduced_seed_projected,0.107141965238302,0.426607671886906
8,16.3333333333333,130.722006059954,-3.34000959985341e-15,2.2647789631419,10,166.062957393484,166.062957393484,-8.13724645891464,-4.98262641489147e-16,-10.1715580736433,-8.62360854962231,7.2291911837175e-07,-10.781720750573,0,0,-3.5,0.482999816186308,-9.90889936594663e-05,-2.88304504824633,166.062957393484,-8.48685138883101,-0.000427738867345532,-10.7821831192443,0.501592420054714,0.000514643482055148,-2.84357314547177,-8.13724645891464,-4.98262641489147e-16,-13.6715580736433,-8.140608733436,-9.83660745410946e-05,-13.6647657988193,-20.2654048999404,-8.3073428895263e-17,-10.4371991064721,0.78028621389592,0.783531904103471,0.0075795490054844,12.5520239443345,-7.11465227010155e-10,0,7.67020582669786e-09,2.43705981350389e-08,0,0.0528474029282374,0.720419599318092,0.875443905122041,19.6410145267873,0,41011311.7847942,0.00152111853231453,reduced_seed_projected,0.076878928286086,0.36567952549085
9,18.6666666666667,133.055338421469,-3.37649967407071e-15,2.26477865922085,10,166.062957393484,166.062957393484,-8.13724793190123,-4.98262731683563e-16,-10.1715599148765,-8.59262303367083,7.1951552765615e-07,-10.7429809146748,0,0,-3.5,0.45462109031752,1.71565940141827e-05,-2.92157293146702,166.062957393484,-8.45548451441873,8.1942155662668e-05,-10.7436946575058,0.480534934665101,-9.85937793042427e-05,-2.88303218546512,-8.13724793190123,-4.98262731683563e-16,-13.6715599148765,-8.13800194335331,1.78761095418389e-05,-13.6645538461418,-20.2654133329505,-8.32787499002755e-17,-10.4371992832287,0.730676701642114,0.735702527974111,0.00704654893840505,12.5520310982232,-2.80917818147944e-07,5.32907051820075e-15,3.01765336312755e-06,1.24940019100755e-05,1.25147776087113e-14,0.0528607405512326,0.721949978115059,0.877202555236089,19.5641168230188,0,40711089.6968694,0.00149560073882193,reduced_seed_projected,0.0759452688411617,0.362374275910033
10,21,135.388671616279,-3.39878016122005e-15,2.26477861589973,10,166.062957393484,166.062957393484,-8.13724814186164,-4.9826274453993e-16,-10.1715601773271,-8.56369292026532,7.15749992288135e-07,-10.7068108587371,0,0,-3.5,0.425680176988281,-7.0684547998726e-05,-2.9578827988628,166.062957393484,-8.43047244596425,-1.4189242372907e-05,-10.7076402890627,0.452216393036799,1.70709982003229e-05,-2.92156028379726,-8.13724814186164,-4.9826274453993e-16,-13.6715601773271,-8.13801274327704,-6.99687980064379e-05,-13.6646936575999,-20.2654145349975,-8.34041718932595e-17,-10.4371993084237,0.684359876803248,0.689271120710791,0.0069093128544729,12.5520321179434,-1.40893113141638e-07,1.77635683940025e-15,1.50839525030184e-06,3.12886240432028e-06,4.17150092669419e-15,0.0527050502682351,0.694596038454477,0.863771330885239,19.5086116761423,0,40486691.6672595,0.00146036383860114,reduced_seed_projected,0.0672119060829361,0.341428662649025
11,23.3333333333333,137.722004929867,-3.41238336682136e-15,2.26477860972469,10,166.062957393484,166.062957393484,-8.13724817178953,-4.98262746372485e-16,-10.1715602147369,-8.53548117548363,7.12038756521508e-07,-10.6715389476832,0,0,-3.5,0.396991440432534,-1.78536553721567e-06,-2.99338263448186,166.062957393484,-8.40840875512398,5.84671001139857e-05,-10.6741661401751,0.423352853484596,-7.03326706908828e-05,-2.95786534397021,-8.13724817178953,-4.98262746372485e-16,-13.6715602147369,-8.1384897350511,-1.07332678069416e-06,-13.6649215821651,-20.2654147063383,-8.34807592756719e-17,-10.437199312015,0.639193443826141,0.643632937957986,0.00675373399745521,12.5520322632953,-6.52656130367343e-07,1.77635683940025e-15,6.96428820952282e-06,7.00994843908608e-06,4.17109167030168e-15,0.0524574264835099,0.661119450248236,0.850120386903274,19.4614594825835,0,40294150.393368,0.00145068650160883,reduced_seed_projected,0.0574746461147287,0.316411882916603
12,25.6666666666667,140.055338260386,-3.42068891677696e-15,2.26477860884454,10,166.062957393484,166.062957393484,-8.13724817605548,-4.98262746633699e-16,-10.1715602200694,-8.5008484589612,7.26791328249439e-07,-10.6282391757533,0,0,-3.5,0.361036574681281,0.000548442605093285,-3.03768577416241,166.062957393484,-8.38718891462584,1.47698243525239e-06,-10.6415461000668,0.394743965787313,-1.77649802797436e-06,-2.99335928544004,-8.13724817605548,-4.98262746633699e-16,-13.6715602200694,-8.13981188427992,0.000549169396421534,-13.6659249499157,-20.2654147307612,-8.35275208490759e-17,-10.4371993125269,0.583747234934951,0.58658516215354,0.00621534042438275,12.5520322840137,9.03940967893896e-08,2.17550422121349e-11,9.60653233747366e-07,2.34309831090572e-07,5.10636332624993e-11,0.0528145995609868,0.626868731346521,0.836706647472955,19.4166350410376,3.15544362088405e-30,40111002.9941333,0.00149647257295511,reduced_seed_projected,0.0485565726952316,0.291424542224385
13,28,142.388671593318,-3.42575990263176e-15,2.26477860871898,10,166.062957393484,166.062957393484,-8.13724817666352,-4.98262746670931e-16,-10.1715602208294,-8.47144577607111,6.85677287581644e-07,-10.5914782880939,0,0,-3.5,0.327793818216296,-0.000450439781126582,-3.07275235284518,166.062957393484,-8.36052473808339,-0.000453789011687932,-10.60089991331,0.358887402855151,0.000545726220781261,-3.03764784121473,-8.13724817666352,-4.98262746670931e-16,-13.6715602208294,-8.14365195785481,-0.000449754103839001,-13.6642306409391,-20.2654147342423,-8.35560714299711e-17,-10.4371993125999,0.536674220235531,0.538506770761657,0.00974337896566374,12.5520322869667,-1.29259786485654e-06,0,1.36894271408748e-05,3.66079183428473e-06,0,0.0536237117404997,0.584659121652853,0.822148694435396,19.360177272042,3.15544362088405e-30,39881550.9813575,0.00157189060470129,reduced_seed_projected,0.0391594297577013,0.260978767982268
14,30.3333333333333,144.722004926594,-3.42885601973556e-15,2.2647786087012,10,166.062957393484,166.062957393484,-8.1372481767502,-4.98262746676239e-16,-10.1715602209377,-8.45322315025319,6.83558509146661e-07,-10.5686953357357,0,0,-3.5,0.313576026126483,-3.0779002496708e-06,-3.09617035509755,166.062957393484,-8.34338844689177,0.00037278932481456,-10.56957913312,0.325776098291683,-0.000448217501893733,-3.07272471290189,-8.1372481767502,-4.98262746676239e-16,-13.6715602209377,-8.13964712412671,-2.39434174052414e-06,-13.6648656908332,-20.2654147347384,-8.3573503080806e-17,-10.4371993126103,0.507500229838601,0.511281044312017,0.00711137733274531,12.5520322873876,-3.61137880267037e-07,8.88178419700125e-15,3.8164509353388e-06,1.10970003169275e-06,2.08544428823823e-14,0.0524883047122845,0.531908620912878,0.796119961403167,19.3299250360781,3.15544362088405e-30,39749705.5901864,0.0014126214050018,reduced_seed_projected,0.029986964342441,0.229051734256543
15,32.6666666666667,147.055338259919,-3.43074636905645e-15,2.26477860869858,10,166.062957393484,166.062957393484,-8.13724817676258,-4.98262746676997e-16,-10.1715602209532,-8.43596852323821,6.82003361248455e-07,-10.5471226299444,0,0,-3.5,0.298499619333784,2.33242716771181e-06,-3.11814530529111,166.062957393484,-8.32613576660301,2.54733933271384e-06,-10.5471116480901,0.311565019463905,-3.06271835942608e-06,-3.09613727187698,-8.13724817676258,-4.98262746676997e-16,-13.6715602209532,-8.13746890390443,3.01443052896027e-06,-13.6652679352355,-20.2654147348093,-8.35841460411446e-17,-10.4371993126118,0.47987599277961,0.484680338593459,0.00629615669369671,12.5520322874478,1.71573589190233e-07,0,1.80946293801754e-06,9.36312281626774e-07,0,0.0524430445955808,0.526356197797946,0.795262638586047,19.2892486418413,0,39591644.9584957,0.00139927707977064,reduced_seed_projected,0.0286976644872092,0.223752279257467
16,35,149.388671593251,-3.43190053124687e-15,2.26477860869818,10,166.062957393484,166.062957393484,-8.13724817676437,-4.98262746677106e-16,-10.1715602209555,-8.41700996860827,6.81291027133263e-07,-10.5234195779182,0,0,-3.5,0.278702433534683,-1.2009103030561e-05,-3.14176659972604,166.062957393484,-8.31105630212443,-1.93044847565733e-06,-10.526360732762,0.296511284388284,2.32093010720176e-06,-3.11810793298463,-8.13724817676437,-4.98262746677106e-16,-13.6715602209555,-8.13830753507359,-1.13278120034277e-05,-13.6651861776442,-20.2654147348196,-8.35906441437971e-17,-10.437199312612,0.449523822792943,0.453879076048037,0.00646148562487094,12.5520322874565,-6.9938771232736e-08,0,7.35936163541006e-07,9.70534546115814e-07,0,0.0526644482234911,0.515217109869788,0.792040519039662,19.2550693134181,0,39457358.8725435,0.00141270957704471,reduced_seed_projected,0.0268522302536611,0.215844495607219
